Statistical profiling result from isolate-0x55934cebc000-29050-v8.log, (164934 ticks, 31979 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     53    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined
     53    0.0%    0.0%  Builtin: CallWithSpread
     52    0.0%    0.0%  JS: *read /home/adrian/Brokeify/server/node_modules/mongodb/lib/utils.js:666:9
     52    0.0%    0.0%  JS: *onceWrapper node:events:628:21
     52    0.0%    0.0%  JS: *makeFindCommand /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/find.js:46:25
     52    0.0%    0.0%  JS: *fetchBatch /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:655:21
     52    0.0%    0.0%  JS: *_unrefTimer node:net:511:52
     52    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:4509:73
     51    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/timeout.js:47:15
     50    0.0%    0.0%  JS: *prepareStackTraceCallback node:internal/errors:130:35
     50    0.0%    0.0%  JS: *now /home/adrian/Brokeify/server/node_modules/mongodb/lib/utils.js:387:13
     50    0.0%    0.0%  JS: *Model.findByIdAndUpdate /home/adrian/Brokeify/server/node_modules/mongoose/lib/model.js:2456:35
     50    0.0%    0.0%  Builtin: AsyncGeneratorResumeNext
     48    0.0%    0.0%  JS: *writeInt32LE node:internal/buffer:862:22
     48    0.0%    0.0%  JS: *_castArrayFilters /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:2336:27
     48    0.0%    0.0%  JS: *SchemaType._applySetters /home/adrian/Brokeify/server/node_modules/mongoose/lib/schemaType.js:1217:46
     47    0.0%    0.0%  JS: *writeU_Int32LE node:internal/buffer:692:24
     47    0.0%    0.0%  JS: *model.Query /home/adrian/Brokeify/server/node_modules/mongoose/lib/model.js:4850:25
     47    0.0%    0.0%  JS: *get _bsontype /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:2489:18
     46    0.0%    0.0%  JS: *get encryptedBatch /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:184:23
     45    0.0%    0.0%  JS: *modifiedPaths /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/update/modifiedPaths.js:17:40
     45    0.0%    0.0%  Builtin: Typeof
     45    0.0%    0.0%  Builtin: StrictEqual_Baseline
     44    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:4484:50
     44    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/mongo_client.js:229:37
     44    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection_pool.js:196:26
     44    0.0%    0.0%  Builtin: PromiseRace
     43    0.0%    0.0%  JS: *_initialize /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/find_cursor.js:45:22
     43    0.0%    0.0%  JS: *Document.$__getValue /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:1776:42
     43    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/mongo_client.js:373:31
     43    0.0%    0.0%  Builtin: StringSubstring
     42    0.0%    0.0%  JS: *get /home/adrian/Brokeify/server/node_modules/mongoose/lib/types/documentArray/index.js:74:18
     42    0.0%    0.0%  JS: *get $clusterTime /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:128:21
     42    0.0%    0.0%  JS: *ConnectionPoolMonitoringEvent /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection_pool_events.js:13:16
     41    0.0%    0.0%  JS: *processExpenses file:///home/adrian/Brokeify/server/computation/simulator.js:397:31
     41    0.0%    0.0%  JS: *close /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:413:16
     41    0.0%    0.0%  Builtin: MapIteratorToList
     41    0.0%    0.0%  Builtin: AsyncGeneratorYieldWithAwait
     41    0.0%    0.0%  Builtin: AsyncGeneratorPrototypeReturn
     40    0.0%    0.0%  JS: *markArraySubdocsPopulated /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/populate/markArraySubdocsPopulated.js:19:52
     40    0.0%    0.0%  JS: *get canRetryRead /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/operation.js:53:21
     40    0.0%    0.0%  Builtin: StringPrototypeSplit
     40    0.0%    0.0%  Builtin: LoadJoinElement_FastSmiOrObjectElements_0
     40    0.0%    0.0%  Builtin: AsyncGeneratorPrototypeNext
     39    0.0%    0.0%  JS: *TimersList node:internal/timers:251:14
     39    0.0%    0.0%  Builtin: GetPropertyWithReceiver
     38    0.0%    0.0%  JS: *hasTimedOut /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:673:16
     38    0.0%    0.0%  JS: *executeCommand /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/command.js:45:25
     38    0.0%    0.0%  JS: *Model /home/adrian/Brokeify/server/node_modules/mongoose/lib/model.js:117:15
     38    0.0%    0.0%  Builtin: ConstructFunction
