Statistical profiling result from isolate-0x557c6d30e000-78503-v8.log, (213525 ticks, 43771 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    121    0.1%    0.1%  JS: *execute /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/find.js:28:18
    118    0.1%    0.1%  JS: *model /home/adrian/Brokeify/server/node_modules/mongoose/lib/model.js:4771:27
    118    0.1%    0.1%  JS: *_findOneAndUpdate /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:3419:69
    118    0.1%    0.1%  JS: *Readable.read node:internal/streams/readable:647:35
    118    0.1%    0.1%  Builtin: KeyedLoadIC_PolymorphicName
    114    0.1%    0.1%  Builtin: PromiseFulfillReactionJob
    113    0.1%    0.1%  JS: *applyGlobalOption /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/query/applyGlobalOption.js:19:27
    113    0.1%    0.1%  JS: *allocUnsafe node:buffer:404:42
    113    0.1%    0.1%  JS: *Query._completeOne /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:2557:40
    113    0.1%    0.1%  JS: *OnDemandDocument /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_demand/document.js:7:16
    113    0.1%    0.1%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/topology.js:493:26
    111    0.1%    0.1%  JS: *serializeBinary /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3678:25
    111    0.1%    0.1%  Builtin: KeyedStoreICTrampoline_Megamorphic
    110    0.1%    0.1%  JS: *serialize /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:4493:19
    109    0.1%    0.1%  JS: *clearTimeout node:timers:184:22
    108    0.1%    0.1%  JS: *onData /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_data.js:12:16
    108    0.1%    0.1%  JS: *applySession /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:754:22
    108    0.1%    0.1%  JS: *Query.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:4884:32
    107    0.1%    0.1%  JS: *serializeBoolean /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3488:26
    106    0.0%    0.1%  Builtin: CallApiCallbackOptimizedNoProfiling
    105    0.0%    0.0%  Builtin: CallVarargs
    104    0.0%    0.0%  JS: *Schema.path /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema.js:1046:33
    104    0.0%    0.0%  Builtin: TypedArrayPrototypeSet
    102    0.0%    0.0%  JS: *setStreamTimeout node:internal/stream_base_commons:236:26
    102    0.0%    0.0%  Builtin: StringPrototypeMatch
    100    0.0%    0.0%  Builtin: SetProperty
    100    0.0%    0.0%  Builtin: ProxyGetProperty
    100    0.0%    0.0%  Builtin: CreateObjectWithoutProperties
     99    0.0%    0.0%  JS: *wrappedFn node:internal/errors:535:21
     99    0.0%    0.0%  JS: *rebalanceInvestments file:///home/adrian/Brokeify/server/computation/simulator.js:939:43
     99    0.0%    0.0%  Builtin: CloneObjectIC_Slow
     96    0.0%    0.0%  JS: *Readable.push node:internal/streams/readable:387:35
     96    0.0%    0.0%  Builtin: PromiseConstructor
     96    0.0%    0.0%  Builtin: LoadIC_FunctionPrototype
     95    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/kareem/index.js:190:29
     94    0.0%    0.0%  JS: *Document.$__set /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:1674:37
     94    0.0%    0.0%  Builtin: StoreICTrampoline_Megamorphic
     92    0.0%    0.0%  JS: *prepareStackTraceCallback node:internal/errors:130:35
     92    0.0%    0.0%  JS: *get /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/get.js:9:30
     91    0.0%    0.0%  JS: *insert node:internal/priority_queue:26:9
     89    0.0%    0.0%  Builtin: DeleteProperty
     88    0.0%    0.0%  Builtin: FastCreateDataProperty
     85    0.0%    0.0%  Builtin: CallWithSpread
     84    0.0%    0.0%  JS: *Document.get /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:1893:34
     83    0.0%    0.0%  JS: *internalDeserialize /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3035:29
     83    0.0%    0.0%  JS: *getsetOptions /home/adrian/Brokeify/server/node_modules/mongoose/lib/mongoose.js:248:48
     83    0.0%    0.0%  JS: *get $clusterTime /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:128:21
     83    0.0%    0.0%  JS: *ConnectionPoolMonitoringEvent /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection_pool_events.js:13:16
     82    0.0%    0.0%  JS: *get ok /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:116:11
     82    0.0%    0.0%  Builtin: PromisePrototypeThen
     81    0.0%    0.0%  JS: *startSession /home/adrian/Brokeify/server/node_modules/mongodb/lib/mongo_client.js:370:17
     81    0.0%    0.0%  JS: *Readable.on node:internal/streams/readable:1127:33
     80    0.0%    0.0%  JS: *get /home/adrian/Brokeify/server/node_modules/mongodb/lib/bson.js:16:78
     80    0.0%    0.0%  JS: *fetchBatch /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:655:21
     80    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/mongo_client.js:229:37
     80    0.0%    0.0%  Builtin: NewPromiseCapability
     78    0.0%    0.0%  JS: *initAsyncResource node:internal/timers:164:27
     78    0.0%    0.0%  JS: *SchemaBoolean.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/boolean.js:221:40
     77    0.0%    0.0%  JS: *get node:internal/bootstrap/node:399:8
     77    0.0%    0.0%  JS: *_initialize /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/find_cursor.js:45:22
     77    0.0%    0.0%  Builtin: MapConstructor
     76    0.0%    0.0%  JS: *resetId /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/objectId.js:281:17
     76    0.0%    0.0%  Builtin: SetPrototypeDelete
     75    0.0%    0.0%  JS: *updateInvestments file:///home/adrian/Brokeify/server/computation/simulator.js:342:40
     74    0.0%    0.0%  RegExp: ObjectI[dD]$
     74    0.0%    0.0%  JS: *exports.hasUserDefinedProperty /home/adrian/Brokeify/server/node_modules/mongoose/lib/utils.js:745:42
     74    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/utils.js:541:23
     73    0.0%    0.0%  JS: *read /home/adrian/Brokeify/server/node_modules/mongodb/lib/utils.js:666:9
     73    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined
